step	http_code	time_total
policy-before	200	0.001242
flags-before	200	0.002851
enable-p0_rollout_design_partner_access	200	0.006269
enable-p0_rollout_autotask_two_way_commands	200	0.004686
enable-p0_rollout_manager_visibility	200	0.003909
enable-p0_rollout_ai_triage_assist	200	0.004013
enable-p0_rollout_enrichment_itglue	200	0.004175
enable-p0_rollout_enrichment_ninja	200	0.002949
enable-p0_rollout_enrichment_sentinelone	200	0.003951
enable-p0_rollout_enrichment_checkpoint	200	0.004045
enable-p0_rollout_automation_simulation_only	200	0.004382
flags-after-enable	200	0.002161
rollback-feature-ai	200	0.005191
flags-after-feature-rollback	200	0.001877
rollback-tenant-all	200	0.008607
flags-after-tenant-rollback	200	0.002265
policy-after	200	0.002091
